Name;Link;Buy date;Sell date;Buy amount;Sell amount;Spread
Helm of the Equilibrium;https://steamcommunity.com/market/listings/570/Helm%20of%20the%20Equilibrium;;30.11.2022;;218.63;
Umbral Glyph;https://steamcommunity.com/market/listings/570/Umbral%20Glyph;;29.11.2022;;43.47;
Armguards of the Equilibrium;https://steamcommunity.com/market/listings/570/Armguards%20of%20the%20Equilibrium;;27.11.2022;;13.77;
Diretide 2022 Greevil Loading Screen;https://steamcommunity.com/market/listings/570/Diretide%202022%20Greevil%20Loading%20Screen;;25.11.2022;;2.37;
Diretide 2022 Candy Loading Screen;https://steamcommunity.com/market/listings/570/Diretide%202022%20Candy%20Loading%20Screen;;25.11.2022;;2.37;
Mega-Kills: The Stanley Parable;https://steamcommunity.com/market/listings/570/Mega-Kills%3A%20The%20Stanley%20Parable;01.11.2022;25.11.2022;216.2;134.8;-81.4
Announcer: The Stanley Parable;https://steamcommunity.com/market/listings/570/Announcer%3A%20The%20Stanley%20Parable;01.11.2022;25.11.2022;367.92;228.14;-139.78
Wardfish;https://steamcommunity.com/market/listings/570/Wardfish;;25.11.2022;;79.04;
Dueling Gloves;https://steamcommunity.com/market/listings/570/Dueling%20Gloves;;25.11.2022;;2.44;
Dueling Gloves;https://steamcommunity.com/market/listings/570/Dueling%20Gloves;;24.11.2022;;2.39;
570-Bounty Hunter (Trading Card);https://steamcommunity.com/market/listings/753/570-Bounty%20Hunter%20%28Trading%20Card%29;;24.11.2022;;6.58;
570-Bounty Hunter (Trading Card);https://steamcommunity.com/market/listings/753/570-Bounty%20Hunter%20%28Trading%20Card%29;;24.11.2022;;6.61;
570-Vengeful Spirit (Trading Card);https://steamcommunity.com/market/listings/753/570-Vengeful%20Spirit%20%28Trading%20Card%29;;24.11.2022;;7.26;
570-Vengeful Spirit (Trading Card);https://steamcommunity.com/market/listings/753/570-Vengeful%20Spirit%20%28Trading%20Card%29;;24.11.2022;;7.44;
570-Vengeful Spirit (Trading Card);https://steamcommunity.com/market/listings/753/570-Vengeful%20Spirit%20%28Trading%20Card%29;;24.11.2022;;7.44;
570-Razor (Trading Card);https://steamcommunity.com/market/listings/753/570-Razor%20%28Trading%20Card%29;;24.11.2022;;8.17;
Spring Lineage Armor of Flightless Fury;https://steamcommunity.com/market/listings/570/Spring%20Lineage%20Armor%20of%20Flightless%20Fury;;24.11.2022;;2.59;
